generated_rule_id,rule_order,task,antecedent_types,antecedent_ids,antecedent_names,consequent_type,consequent_id,consequent_name,rule_text,recommended_usage,knowledge_status,llm_rule_confidence,medical_plausibility_score,statistical_strength_score,specificity_score,pseudo_correlation_risk,overactivation_risk,suggested_weight_scale,supporting_evidence_ids,supporting_statistics_summary,medical_rationale,statistical_rationale,conditions_or_limitations,need_human_review,audit_keep,audit_score,medical_consistency_score,statistical_sanity_score,specificity_audit_score,pseudo_correlation_risk_audit,overactivation_risk_audit,recommended_usage_final,knowledge_status_audit,final_weight_adjustment,final_rule_confidence,need_human_review_final,audit_reason,keep,statistical_ratability,statistical_ratiance,medical_ratability,supporting_evidence_summary
rule_token_tcm_diag_928_15,first_order,tcm_diag,['token'],[928],['Quan Shen Fa Hong '],tcm_diag,15.0,Shi Chuang,"Ruo Huan Zhe Zhu Su Bao Han 'Quan Shen Fa Hong ',Ze Ke Neng Zhen Duan Wei Shi Chuang",soft_prior,documented,0.88,5,5,4,low,low,0.85,['first_order_token_tcm_diag_928_15'],"confidence=1.0, PMI=3.97, lift=53.23, cooccur=56Ci","Quan Shen Fa Hong Shi Shi Chuang De Dian Xing Pi Sun Biao Xian,Fu He Shi Chuang Ji Xing Qi Huo Fan Fa Xing Shi Chuang De Lin Chuang Te Zheng","Zhi Xin Du 1.0,liftZhi 53.23Xian Shi Qiang Guan Lian,PMI=3.97Biao Ming Gong Xian Xian Zhu Gao Yu Sui Ji","Xu Jie He Pi Sun Xing Tai, Shen Chu, Sao Yang Deng Qi Ta Zheng Zhuang Zong He Pan Duan",False,True,5.0,5,5,5,low,low,soft_prior,documented,0.85,0.88,False,"Gui Ze He Li,Tong Ji Zheng Ju Ji Qiang,Yi Xue Luo Ji Qing Xi",True,,,,
rule_token_tcm_diag_1244_21,first_order,tcm_diag,['token'],[1244],['Zu Sheng Ya '],tcm_diag,21.0,Kou Mi,"Ruo Huan Zhe Zhu Su Bao Han 'Zu Sheng Ya ',Ze Ke Neng Zhen Duan Wei Kou Mi",soft_prior,documented,0.82,4,5,5,low,low,0.8,['first_order_token_tcm_diag_1244_21'],"confidence=1.0, PMI=4.46, lift=86.87, cooccur=41Ci","Zu Sheng Ya Ke Dao Zhi Ju Bu Nian Mo Sun Shang, Yan Zheng,Yin Fa Kou Qiang Kui Yang Huo Mi Lan,Fu He Kou Mi Bing Yin","Zhi Xin Du 1.0,liftZhi 86.87He PMI=4.46Jun Xian Shi Ji Qiang Guan Lian","Xu Pai Chu Dan Chun Ya Ke Wen Ti,Que Ren Cun Zai Kou Qiang Nian Mo Mi Lan",False,True,5.0,4,5,5,low,low,soft_prior,documented,0.78,0.82,False,"Gui Ze He Li,Tong Ji Zheng Ju Ji Qiang,Yi Xue Luo Ji Ji Ben Qing Xi",True,,,,
rule_token_tcm_diag_1444_22,first_order,tcm_diag,['token'],[1444],['Zuo Fei Jin Run Xing Xian Yan '],tcm_diag,22.0,Fei Yan,"Ruo Huan Zhe Zhu Su Bao Han 'Zuo Fei Jin Run Xing Xian Yan ',Ze Zhen Duan Wei Fei Yan",hard_constraint,documented,0.98,5,5,5,none,none,0.98,['first_order_token_tcm_diag_1444_22'],"confidence=1.0, PMI=4.63, lift=102.89, cooccur=34Ci","Zuo Fei Jin Run Xing Xian Yan Shi Fei Yan De Ming Que Bing Li Zhen Duan,Shu Yu Zhi Jie Yin Guo Guan Xi","Zhi Xin Du 1.0,liftZhi 102.89He PMI=4.63Xian Shi Que Ding Xing Guan Lian","Wu,Bing Li Zhen Duan Ming Que",False,True,5.0,5,5,5,none,none,hard_prior,documented,0.95,0.98,False,"Gui Ze He Li,Tong Ji Zheng Ju Chong Fen,Yi Xue Luo Ji Qing Xi",True,,,,
rule_token_tcm_diag_1443_5,first_order,tcm_diag,['token'],[1443],['Gong Jing E Xing Zhong Liu '],tcm_diag,5.0,Yan Lei Bing,"Ruo Huan Zhe Zhu Su Bao Han 'Gong Jing E Xing Zhong Liu ',Ze Zhen Duan Wei Yan Lei Bing",hard_constraint,documented,0.98,5,4,5,none,none,0.95,['first_order_token_tcm_diag_1443_5'],"confidence=1.0, PMI=3.16, lift=23.62, cooccur=34Ci","Gong Jing E Xing Zhong Liu Shu Yu Yan Zheng,Zhi Jie Gui Ru Yan Lei Bing Fan Chou","Zhi Xin Du 1.0,liftZhi 23.62Xian Shi Qiang Guan Lian","Wu,E Xing Zhong Liu Zhen Duan Ming Que",False,True,5.0,5,4,5,none,none,hard_prior,documented,0.95,0.98,False,"Gui Ze He Li,Tong Ji Zheng Ju Chong Fen,Yi Xue Luo Ji Qing Xi",True,,,,
rule_token_tcm_diag_1501_15,first_order,tcm_diag,['token'],[1501],['Quan Shen Fa Hong Ban Teng Tong '],tcm_diag,15.0,Shi Chuang,"Ruo Huan Zhe Zhu Su Bao Han 'Quan Shen Fa Hong Ban Teng Tong ',Ze Ke Neng Zhen Duan Wei Shi Chuang",soft_prior,documented,0.85,5,5,4,low,low,0.83,['first_order_token_tcm_diag_1501_15'],"confidence=1.0, PMI=3.97, lift=53.23, cooccur=32Ci","Quan Shen Fa Hong Ban Teng Tong Ti Shi Ji Xing Yan Zheng Xing Pi Sun,Fu He Shi Chuang Ji Xing Qi Biao Xian","Zhi Xin Du 1.0,liftZhi 53.23He PMI=3.97Xian Shi Qiang Guan Lian","Xu Pai Chu Qi Ta Ji Xing Pi Fu Bing Ru Dan Du, Ji Xing Xun Ma Zhen Deng",False,True,5.0,5,5,5,low,low,soft_prior,documented,0.82,0.85,False,"Gui Ze He Li,Tong Ji Zheng Ju Chong Fen,Yi Xue Luo Ji Qing Xi",True,,,,
rule_token_tcm_diag_1656_59,first_order,tcm_diag,['token'],[1656],['Quan Shen Feng Tuan '],tcm_diag,59.0,Yin Zhen,"Ruo Huan Zhe Zhu Su Bao Han 'Quan Shen Feng Tuan ',Ze Zhen Duan Wei Yin Zhen",hard_constraint,documented,0.95,5,5,5,none,none,0.93,['first_order_token_tcm_diag_1656_59'],"confidence=1.0, PMI=5.86, lift=350.30, cooccur=28Ci","Feng Tuan Shi Yin Zhen (Xun Ma Zhen)De Te Zheng Xing Pi Sun,Quan Shen Feng Tuan Ji Wei Yin Zhen De Dian Xing Biao Xian","Zhi Xin Du 1.0,liftZhi 350.30He PMI=5.86Xian Shi Ji Qiang Te Yi Xing Guan Lian","Wu,Feng Tuan Shi Yin Zhen De Bing Li Te Zheng",False,True,5.0,5,5,5,none,none,hard_prior,documented,0.92,0.95,False,"Gui Ze He Li,Tong Ji Zheng Ju Chong Fen,Yi Xue Luo Ji Qing Xi",True,,,,
rule_token_tcm_diag_1730_5,first_order,tcm_diag,['token'],[1730],['Chang Dao Zhuan Yi '],tcm_diag,5.0,Yan Lei Bing,"Ruo Huan Zhe Zhu Su Bao Han 'Chang Dao Zhuan Yi ',Ze Zhen Duan Wei Yan Lei Bing",hard_constraint,documented,0.98,5,4,5,none,none,0.95,['first_order_token_tcm_diag_1730_5'],"confidence=1.0, PMI=3.16, lift=23.62, cooccur=27Ci","Chang Dao Zhuan Yi Ti Shi E Xing Zhong Liu Yi Fa Sheng Yuan Chu Zhuan Yi,Shu Yu Yan Zheng Wan Qi","Zhi Xin Du 1.0,liftZhi 23.62Xian Shi Qiang Guan Lian","Wu,Zhuan Yi Xing Yan Zheng Zhen Duan Ming Que",False,True,5.0,5,4,5,none,none,hard_prior,documented,0.95,0.98,False,"Gui Ze He Li,Tong Ji Zheng Ju Chong Fen,Yi Xue Luo Ji Qing Xi",True,,,,
rule_token_tcm_diag_2069_51,first_order,tcm_diag,['token'],[2069],['Qian E He Jia Bu Fa Hong '],tcm_diag,51.0,Fen Ci,"Ruo Huan Zhe Zhu Su Bao Han 'Qian E He Jia Bu Fa Hong ',Ze Ke Neng Zhen Duan Wei Fen Ci",soft_prior,documented,0.82,4,5,4,low,medium,0.75,['first_order_token_tcm_diag_2069_51'],"confidence=1.0, PMI=5.72, lift=303.69, cooccur=21Ci","Qian E He Jia Bu Shi Fen Ci (Cuo Chuang)Hao Fa Bu Wei,Fa Hong Ti Shi Yan Zheng Xing Cuo Chuang","Zhi Xin Du 1.0,liftZhi 303.69He PMI=5.72Xian Shi Ji Qiang Guan Lian","Xu Jie He Fen Ci, Qiu Zhen, Nong Pao Deng Pi Sun Xing Tai Que Ren,Dan Chun Fa Hong Ke Neng Wei Qi Ta Pi Fu Bing",False,True,5.0,5,5,4,low,low,soft_prior,documented,0.78,0.82,False,"Gui Ze He Li,Tong Ji Zheng Ju Ji Qiang,Yi Xue Luo Ji Qing Xi",True,,,,
rule_token_tcm_diag_2131_22,first_order,tcm_diag,['token'],[2131],['Fu Qiang Jing Xia Yi Zhuang Jie Chang E Xing Zhong Liu Gen Zhi Zhu '],tcm_diag,22.0,Fei Yan,"Ruo Huan Zhe Zhu Su Bao Han 'Fu Qiang Jing Xia Yi Zhuang Jie Chang E Xing Zhong Liu Gen Zhi Zhu ',Ze Ke Neng Zhen Duan Wei Fei Yan",exclude,data_driven_empirical,0.25,1,5,2,high,high,0.0,['first_order_token_tcm_diag_2131_22'],"confidence=1.0, PMI=4.63, lift=102.89, cooccur=21Ci","Yi Zhuang Jie Chang E Xing Zhong Liu Yu Fei Yan Wu Zhi Jie Yin Guo Guan Xi,Ke Neng Wei Duo Yuan Fa Yan Huo Shu Ju Hun Za","Sui Ran Tong Ji Zhi Biao Qiang,Dan Yi Xue Luo Ji Bu Zhi Chi,Ke Neng Shi Tong Yi Huan Zhe Tong Shi Huan Liang Chong Yan Zheng Dao Zhi De Wei Xiang Guan","Bu Jian Yi Zuo Wei Gui Ze Shi Yong,Xu Ren Gong Shen He Bing Li Que Ren Shi Fou Wei Duo Yuan Fa Yan",True,False,1.0,1,5,1,high,high,do_not_use,spurious,0.0,0.15,True,"Gui Ze Bu He Li,Tong Ji Zheng Ju Sui Qiang Dan Yi Xue Luo Ji Bu Zhi Chi,Shu Yu Wei Xiang Guan",False,,,,
rule_token_tcm_diag_2397_110,first_order,tcm_diag,['token'],[2397],['Tong Kong Deng Da Deng Yuan '],tcm_diag,110.0,Yan Bing Lei Zhu Yu,"Ruo Huan Zhe Zhu Su Bao Han 'Tong Kong Deng Da Deng Yuan ',Ze Ke Neng She Ji Yan Bing Lei Zhu Yu",soft_prior,documented,0.78,4,5,5,medium,medium,0.7,['first_order_token_tcm_diag_2397_110'],"confidence=1.0, PMI=7.52, lift=1836.95, cooccur=18Ci","Tong Kong Deng Da Deng Yuan Shi Yan Ke Jian Cha De Chang Gui Miao Shu,Dan Qi Ben Shen Shi Zheng Chang Ti Zheng,Bu Zhi Jie Zhi Xiang Te Ding Yan Bing","Zhi Xin Du 1.0,liftZhi 1836.95He PMI=7.52Xian Shi Ji Qiang Guan Lian,Dan Ke Neng Fan Ying De Shi Yan Ke Bing Li De Ji Lu Xi Guan","Ci Wei Yan Ke Jian Cha Zhu Yu,Xu Jie He Qi Ta Yan Bu Zheng Zhuang He Ti Zheng Pan Duan Ju Ti Yan Bing,Dan Du Shi Yong Yi Yi You Xian",True,False,2.0,3,5,4,medium,low,delete,documented,0.0,0.0,True,"Tong Ji Zheng Ju Qiang,Dan Yi Xue Luo Ji Bu Chong Fen,Ke Neng Wei Wei Xiang Guan,Jian Yi Shan Chu",False,,,,
